Rank,Feature,Importance
1,num__信用评分,0.058953878
2,num__投诉次数,0.04361996
3,num__活跃会员,0.03857689
4,num__客服联系次数,0.035959717
5,num__交易额环比变化,0.024069857
6,num__持有产品数,0.023681268
7,cat__教育水平_硕士,0.021104412
8,num__年龄,0.0193769
9,num__APP月登录次数,0.017367736
10,cat__所在城市_上海,0.017162573
11,cat__所在城市_济宁,0.016442282
12,num__账户余额,0.016075695
13,cat__教育水平_博士,0.015927676
14,cat__职业_学生,0.015922463
15,cat__性别_男,0.015495926
16,num__开户年限,0.015452933
17,cat__职业_企业管理人员,0.015320938
18,cat__所在城市_武汉,0.015274814
19,cat__职业_退休,0.0151606295
20,num__月均交易金额,0.014891573
21,num__估算年薪,0.014847747
22,cat__所在城市_淄博,0.0147482585
23,num__持有信用卡,0.01472449
24,cat__常用渠道_柜面,0.014712356
25,cat__婚姻状况_丧偶,0.0145349605
26,cat__所在城市_青岛,0.014515693
27,cat__所在城市_济南,0.014451757
28,num__月均交易次数,0.014416639
29,cat__职业_自由职业,0.014326307
30,cat__账户类型_定期存款,0.0143094575
31,cat__所在城市_烟台,0.014300811
32,cat__常用渠道_手机银行,0.014295764
33,num__夜间交易占比,0.014271884
34,cat__职业_事业单位,0.014219159
35,cat__婚姻状况_离异,0.014103899
36,cat__所在城市_广州,0.0139926225
37,cat__所在城市_临沂,0.013946466
38,cat__婚姻状况_已婚,0.013860526
39,cat__所在城市_潍坊,0.013635464
40,cat__所在城市_深圳,0.013524322
41,cat__性别_女,0.013449386
42,cat__职业_公务员,0.013407601
43,num__储蓄产品,0.013233329
44,cat__常用渠道_微信银行,0.013006254
45,cat__教育水平_大专,0.012925055
46,cat__职业_企业职员,0.0127714295
47,cat__职业_个体经营,0.01276753
48,cat__所在城市_杭州,0.012673309
49,num__理财产品,0.0126189515
50,cat__所在城市_北京,0.01246215
51,num__保险产品,0.012441136
52,num__贷款产品,0.01234634
53,cat__婚姻状况_未婚,0.012151892
54,cat__教育水平_本科,0.012120637
55,cat__账户类型_贵宾理财账户,0.0120957345
56,num__营销响应,0.011854702
57,cat__常用渠道_网上银行,0.01177383
58,cat__所在城市_成都,0.011238648
59,cat__教育水平_高中及以下,0.011095455
60,cat__账户类型_普通活期,0.011055697
61,cat__所在城市_泰安,0.01093428
